,ENST
ENST00000333628,3
ENST00000462138,3
ENST00000358227,3
ENST00000602624,3
ENST00000373316,3
ENST00000264552,3
ENST00000229390,3
ENST00000391851,3
ENST00000394936,3
ENST00000388968,3
ENST00000546500,3
ENST00000372692,2
ENST00000622257,2
ENST00000311086,2
ENST00000550050,2
ENST00000348956,2
ENST00000219479,2
ENST00000221801,2
ENST00000451311,2
ENST00000293831,2
ENST00000396210,2
ENST00000246802,2
ENST00000341423,2
ENST00000333676,2                                
ENST00000420826,1
ENST00000507754,1
ENST00000356493,1
ENST00000254810,1
ENST00000593829,1
ENST00000337130,1
ENST00000336023,1
ENST00000272227,1
ENST00000394440,1
ENST00000301071,1
ENST00000258091,1
ENST00000543796,1
ENST00000335514,1
ENST00000234875,1
ENST00000229238,1
ENST00000302182,1
ENST00000397375,1
ENST00000301072,1
ENST00000311487,1
ENST00000361298,1
ENST00000342669,1
ENST00000262056,1
ENST00000270776,1
ENST00000522934,1
ENST00000394053,1
ENST00000373616,1
ENST00000344843,1
ENST00000329421,1
ENST00000262948,1
ENST00000525340,1
ENST00000396076,1
ENST00000203407,1
ENST00000396705,1
ENST00000370321,1
ENST00000401609,1
ENST00000216146,1
ENST00000300026,1
ENST00000326739,1
ENST00000398606,1
ENST00000229270,1
ENST00000406376,1
ENST00000268150,1
ENST00000529806,1
ENST00000335007,1
ENST00000265462,1
ENST00000343262,1
ENST00000309311,1
ENST00000403564,1
ENST00000462576,1
ENST00000313511,1
ENST00000350669,1
ENST00000530705,1
ENST00000379060,1
ENST00000373715,1
ENST00000612212,1
ENST00000259457,1
ENST00000335181,1
ENST00000233893,1
ENST00000329251,1
ENST00000336458,1
ENST00000318911,1
ENST00000258424,1
ENST00000227266,1
ENST00000284727,1
ENST00000418115,1
ENST00000401473,1
